;Ticker;Company Name;final_name
45;;Atlanta Braves Holdings, Inc.;Atlanta Braves Holdings, Inc.
47;;BurgerFi International, Inc.;BurgerFi International, Inc.
76;A;AGILENT TECHNOLOGIES INC;A - AGILENT TECHNOLOGIES INC
77;A21;Li Auto Inc.;A21 - Li Auto Inc.
78;AA;Alcoa Corp;AA - Alcoa Corp
79;AAC;Ares Acquisition Corporation;AAC - Ares Acquisition Corporation
80;AACI;Armada Acquisition Corp. I;AACI - Armada Acquisition Corp. I
81;AAC_delisted;AAC Holdings, Inc.;AAC_delisted - AAC Holdings, Inc.
82;AAGH;America Great Health;AAGH - America Great Health
83;AAIC;Arlington Asset Investment Corp.;AAIC - Arlington Asset Investment Corp.
84;AAL;American Airlines Group Inc.;AAL - American Airlines Group Inc.
85;AAMC;Altisource Asset Management Corp;AAMC - Altisource Asset Management Corp
86;AAME;ATLANTIC AMERICAN CORP;AAME - ATLANTIC AMERICAN CORP
87;AAN;Aaron's Company, Inc.;AAN - Aaron's Company, Inc.
88;AAOI;APPLIED OPTOELECTRONICS, INC.;AAOI - APPLIED OPTOELECTRONICS, INC.
89;AAON;AAON INC;AAON - AAON INC
90;AAP;ADVANCE AUTO PARTS INC;AAP - ADVANCE AUTO PARTS INC
91;AAPL;APPLE INC;AAPL - APPLE INC
92;AAT;American Assets Trust, Inc.;AAT - American Assets Trust, Inc.
93;AATP;Agape ATP Corporation;AATP - Agape ATP Corporation
94;AAWH;Ascend Wellness Holdings, Inc.;AAWH - Ascend Wellness Holdings, Inc.
95;AAWW;ATLAS AIR WORLDWIDE HOLDINGS INC;AAWW - ATLAS AIR WORLDWIDE HOLDINGS INC
96;AB;AllianceBernstein Holding L.P.;AB - AllianceBernstein Holding L.P.
97;ABAX;ABAXIS INC;ABAX - ABAXIS INC
98;ABBV;AbbVie Inc.;ABBV - AbbVie Inc.
99;ABCB;Ameris Bancorp;ABCB - Ameris Bancorp
100;ABCD;CAMBIUM LEARNING GROUP, INC.;ABCD - CAMBIUM LEARNING GROUP, INC.
101;ABCL;AbCellera Biologics Inc.;ABCL - AbCellera Biologics Inc.
102;ABEO;ABEONA THERAPEUTICS INC.;ABEO - ABEONA THERAPEUTICS INC.
103;ABG;ASBURY AUTOMOTIVE GROUP INC;ABG - ASBURY AUTOMOTIVE GROUP INC
104;ABIO;ARCA biopharma, Inc.;ABIO - ARCA biopharma, Inc.
105;ABM;ABM INDUSTRIES INC /DE/;ABM - ABM INDUSTRIES INC /DE/
106;ABMC;AMERICAN BIO MEDICA CORP;ABMC - AMERICAN BIO MEDICA CORP
107;ABMD;Abiomed Inc;ABMD - Abiomed Inc
108;ABML;American Battery Technology Company;ABML - American Battery Technology Company
109;ABNB;Airbnb, Inc.;ABNB - Airbnb, Inc.
110;ABOS;Acumen Pharmaceuticals, Inc.;ABOS - Acumen Pharmaceuticals, Inc.
111;ABR;ARBOR REALTY TRUST INC;ABR - ARBOR REALTY TRUST INC
112;ABSI;Absci Corp;ABSI - Absci Corp
113;ABT;ABBOTT LABORATORIES;ABT - ABBOTT LABORATORIES
114;ABTI;Alterola Biotech, Inc.;ABTI - Alterola Biotech, Inc.
115;ABTL;AutoWeb, Inc.;ABTL - AutoWeb, Inc.
116;ABTX;Allegiance Bancshares, Inc.;ABTX - Allegiance Bancshares, Inc.
117;ABUS;Arbutus Biopharma Corp;ABUS - Arbutus Biopharma Corp
118;ABVC;ABVC BioPharma, Inc.;ABVC - ABVC BioPharma, Inc.
119;ABX;BARRICK GOLD CORP;ABX - BARRICK GOLD CORP
120;AC;Associated Capital Group, Inc.;AC - Associated Capital Group, Inc.
121;ACA;Arcosa, Inc.;ACA - Arcosa, Inc.
122;ACAC;Acri Capital Acquisition Corporation;ACAC - Acri Capital Acquisition Corporation
123;ACAD;Acadia Pharmaceuticals Inc;ACAD - Acadia Pharmaceuticals Inc
124;ACAH;Atlantic Coastal Acquisition Corp.;ACAH - Atlantic Coastal Acquisition Corp.
125;ACAN;AmeriCann, Inc.;ACAN - AmeriCann, Inc.
126;ACAQ;Athena Consumer Acquisition Corp.;ACAQ - Athena Consumer Acquisition Corp.
127;ACAT;ARCTIC CAT INC;ACAT - ARCTIC CAT INC
128;ACBA;Ace Global Business Acquisition Limited;ACBA - Ace Global Business Acquisition Limited
129;ACBI;Atlantic Capital Bancshares, Inc.;ACBI - Atlantic Capital Bancshares, Inc.
130;ACBM;Acro Biomedical Co., Ltd.;ACBM - Acro Biomedical Co., Ltd.
131;ACC;American Campus Communities Inc;ACC - American Campus Communities Inc
132;ACCD;Accolade, Inc.;ACCD - Accolade, Inc.
133;ACCO;ACCO BRANDS Corp;ACCO - ACCO BRANDS Corp
134;ACDC;ProFrac Holding Corp.;ACDC - ProFrac Holding Corp.
135;ACEL;Accel Entertainment, Inc.;ACEL - Accel Entertainment, Inc.
136;ACER;Acer Therapeutics Inc.;ACER - Acer Therapeutics Inc.
137;ACET;Adicet Bio, Inc.;ACET - Adicet Bio, Inc.
138;ACET_delisted;ACETO CORP;ACET_delisted - ACETO CORP
139;ACFN;Acorn Energy, Inc.;ACFN - Acorn Energy, Inc.
140;ACGL;Arch Capital Group LTD;ACGL - Arch Capital Group LTD
141;ACHC;Acadia Healthcare Company Inc;ACHC - Acadia Healthcare Company Inc
142;ACHR;Archer Aviation Inc.;ACHR - Archer Aviation Inc.
143;ACHV;Achieve Life Sciences, Inc.;ACHV - Achieve Life Sciences, Inc.
144;ACI;Albertsons Companies, Inc.;ACI - Albertsons Companies, Inc.
145;ACIA;Acacia Communications, Inc.;ACIA - Acacia Communications, Inc.
146;ACIC;American Coastal Insurance Corporation;ACIC - American Coastal Insurance Corporation
147;ACIW;ACI WORLDWIDE, INC.;ACIW - ACI WORLDWIDE, INC.
148;ACLS;AXCELIS TECHNOLOGIES INC;ACLS - AXCELIS TECHNOLOGIES INC
149;ACLX;Arcellx, Inc.;ACLX - Arcellx, Inc.
150;ACM;Aecom Technology Corp;ACM - Aecom Technology Corp
151;ACMR;ACM Research, Inc.;ACMR - ACM Research, Inc.
152;ACN;Accenture plc;ACN - Accenture plc
153;ACNB;ACNB Corporation;ACNB - ACNB Corporation
154;ACOR;Acorda Therapeutics, Inc.;ACOR - Acorda Therapeutics, Inc.
155;ACPW;ACTIVE POWER INC;ACPW - ACTIVE POWER INC
156;ACR;ACRES Commercial Realty Corp.;ACR - ACRES Commercial Realty Corp.
157;ACRE;Ares Commercial Real Estate Corp;ACRE - Ares Commercial Real Estate Corp
158;ACRHF;Acreage Holdings, Inc.;ACRHF - Acreage Holdings, Inc.
159;ACRO;Acropolis Infrastructure Acquisition Corp.;ACRO - Acropolis Infrastructure Acquisition Corp.
160;ACRS;Aclaris Therapeutics, Inc.;ACRS - Aclaris Therapeutics, Inc.
161;ACRV;Acrivon Therapeutics, Inc. Common Stock;ACRV - Acrivon Therapeutics, Inc. Common Stock
162;ACRX;ACELRX PHARMACEUTICALS INC;ACRX - ACELRX PHARMACEUTICALS INC
163;ACST;Acasti Pharma Inc.;ACST - Acasti Pharma Inc.
164;ACT;Actavis, Inc.;ACT - Actavis, Inc.
165;ACTG;Acacia Research Corporation;ACTG - Acacia Research Corporation
166;ACU;ACME UNITED CORP;ACU - ACME UNITED CORP
167;ACVA;ACV Auctions Inc.;ACVA - ACV Auctions Inc.
168;ACW;ACCURIDE CORP;ACW - ACCURIDE CORP
169;ACXP;Acurx Pharmaceuticals, Inc.;ACXP - Acurx Pharmaceuticals, Inc.
170;ADAP;Adaptimmune Therapeutics plc;ADAP - Adaptimmune Therapeutics plc
171;ADBE;Adobe Systems;ADBE - Adobe Systems
172;ADC;Agree Realty Corporation;ADC - Agree Realty Corporation
173;ADCT;ADC Therapeutics SA;ADCT - ADC Therapeutics SA
174;ADEA;Adeia Inc.;ADEA - Adeia Inc.
175;ADER;26 Capital Acquisition Corp.;ADER - 26 Capital Acquisition Corp.
176;ADES;Advanced Emissions Solutions, Inc.;ADES - Advanced Emissions Solutions, Inc.
177;ADEX;Adit EdTech Acquisition Corp.;ADEX - Adit EdTech Acquisition Corp.
178;ADI;ANALOG DEVICES INC;ADI - ANALOG DEVICES INC
179;ADIL;ADIAL PHARMACEUTICALS, INC.;ADIL - ADIAL PHARMACEUTICALS, INC.
180;ADM;ARCHER DANIELS MIDLAND CO;ADM - ARCHER DANIELS MIDLAND CO
181;ADMA;ADMA BIOLOGICS, INC.;ADMA - ADMA BIOLOGICS, INC.
182;ADMP;Adamis Pharmaceuticals Corporation;ADMP - Adamis Pharmaceuticals Corporation
183;ADMS;Adamas Pharmaceuticals, Inc.;ADMS - Adamas Pharmaceuticals, Inc.
184;ADN;Advent Technologies Holdings, Inc.;ADN - Advent Technologies Holdings, Inc.
185;ADNT;Adient plc;ADNT - Adient plc
186;ADOM;Envirotech Vehicles, Inc.;ADOM - Envirotech Vehicles, Inc.
187;ADP;AUTOMATIC DATA PROCESSING INC;ADP - AUTOMATIC DATA PROCESSING INC
188;ADPT;Adaptive Biotechnologies Corp;ADPT - Adaptive Biotechnologies Corp
189;ADPT_delisted;Adeptus Health Inc.;ADPT_delisted - Adeptus Health Inc.
190;ADRA;Adara Acquisition Corp.;ADRA - Adara Acquisition Corp.
191;ADRT;Ault Disruptive Technologies Corporation;ADRT - Ault Disruptive Technologies Corporation
192;ADSK;AUTODESK INC;ADSK - AUTODESK INC
193;ADT;ADT Inc.;ADT - ADT Inc.
194;ADTM;Adaptive Medias, Inc.;ADTM - Adaptive Medias, Inc.
195;ADTN;ADTRAN INC;ADTN - ADTRAN INC
196;ADUS;Addus HomeCare Corp;ADUS - Addus HomeCare Corp
197;ADV;Advantage Solutions Inc.;ADV - Advantage Solutions Inc.
198;ADVM;Adverum Biotechnologies, Inc.;ADVM - Adverum Biotechnologies, Inc.
199;ADXS;Advaxis, Inc.;ADXS - Advaxis, Inc.
200;AE;ADAMS RESOURCES & ENERGY, INC.;AE - ADAMS RESOURCES & ENERGY, INC.
201;AEE;AMEREN CORP;AEE - AMEREN CORP
202;AEHA;Aesther Healthcare Acquisition Corp.;AEHA - Aesther Healthcare Acquisition Corp.
203;AEHR;AEHR TEST SYSTEMS;AEHR - AEHR TEST SYSTEMS
204;AEI;Alset EHome International Inc.;AEI - Alset EHome International Inc.
205;AEIS;ADVANCED ENERGY INDUSTRIES INC;AEIS - ADVANCED ENERGY INDUSTRIES INC
206;AEL;American Equity Investment Life Holding Company;AEL - American Equity Investment Life Holding Company
207;AEM;AGNICO EAGLE MINES LTD;AEM - AGNICO EAGLE MINES LTD
208;AEMD;Aethlon Medical, Inc.;AEMD - Aethlon Medical, Inc.
209;AEO;AMERICAN EAGLE OUTFITTERS INC;AEO - AMERICAN EAGLE OUTFITTERS INC
210;AEP;AMERICAN ELECTRIC POWER CO INC;AEP - AMERICAN ELECTRIC POWER CO INC
211;AEPI;AEP INDUSTRIES INC;AEPI - AEP INDUSTRIES INC
212;AER;AerCap Holdings N.V.;AER - AerCap Holdings N.V.
213;AERC;AeroClean Technologies, Inc.;AERC - AeroClean Technologies, Inc.
214;AERG;Applied Energetics, Inc.;AERG - Applied Energetics, Inc.
215;AERI;Aerie Pharmaceuticals, Inc.;AERI - Aerie Pharmaceuticals, Inc.
216;AES;AES CORP;AES - AES CORP
217;AESE;Allied Esports Entertainment Inc.;AESE - Allied Esports Entertainment Inc.
218;AESI;Atlas Energy Solutions Inc.;AESI - Atlas Energy Solutions Inc.
219;AET;AETNA INC /PA/;AET - AETNA INC /PA/
220;AEVA;Aeva Technologies, Inc.;AEVA - Aeva Technologies, Inc.
221;AEYE;AudioEye, Inc.;AEYE - AudioEye, Inc.
222;AFAR;Aura FAT Projects Acquisition Corp;AFAR - Aura FAT Projects Acquisition Corp
223;AFBI;Affinity Bancshares, Inc.;AFBI - Affinity Bancshares, Inc.
224;AFCG;AFC Gamma, Inc.;AFCG - AFC Gamma, Inc.
225;AFG;AMERICAN FINANCIAL GROUP INC;AFG - AMERICAN FINANCIAL GROUP INC
226;AFGS;AGRIFORCE GROWING SYSTEMS LTD.;AFGS - AGRIFORCE GROWING SYSTEMS LTD.
227;AFI;Armstrong Flooring, Inc.;AFI - Armstrong Flooring, Inc.
228;AFIB;Acutus Medical, Inc.;AFIB - Acutus Medical, Inc.
229;AFL;AFLAC INC;AFL - AFLAC INC
230;AFRI;Forafric Global PLC;AFRI - Forafric Global PLC
231;AFRM;Affirm Holdings, Inc.;AFRM - Affirm Holdings, Inc.
232;AFSI;Amtrust Financial Services, Inc.;AFSI - Amtrust Financial Services, Inc.
233;AFTC;ConneXionONE Corp.;AFTC - ConneXionONE Corp.
234;AG;FIRST MAJESTIC SILVER CORP;AG - FIRST MAJESTIC SILVER CORP
235;AGBA;AGBA Acquisition Limited;AGBA - AGBA Acquisition Limited
236;AGCO;AGCO CORP /DE;AGCO - AGCO CORP /DE
237;AGE;AgeX Therapeutics, Inc.;AGE - AgeX Therapeutics, Inc.
238;AGEN;Agenus Inc.;AGEN - Agenus Inc.
239;AGFS;AgroFresh Solutions, Inc.;AGFS - AgroFresh Solutions, Inc.
240;AGHI;Agora Holdings, Inc.;AGHI - Agora Holdings, Inc.
241;AGI;Affinion Group, Inc.;AGI - Affinion Group, Inc.
242;AGIO;AGIOS PHARMACEUTICALS INC;AGIO - AGIOS PHARMACEUTICALS INC
243;AGL;agilon health, inc.;AGL - agilon health, inc.
244;AGM;Federal Agricultural Mortgage Corporation;AGM - Federal Agricultural Mortgage Corporation
245;AGN;Allergan plc;AGN - Allergan plc
246;AGNC;American Capital Agency Corp;AGNC - American Capital Agency Corp
247;AGN_old;Allergan Inc.;AGN_old - Allergan Inc.
248;AGO;ASSURED GUARANTY LTD;AGO - ASSURED GUARANTY LTD
249;AGR;Avangrid, Inc.;AGR - Avangrid, Inc.
250;AGS;PlayAGS, Inc.;AGS - PlayAGS, Inc.
251;AGSS;Ameriguard Security Services, Inc.;AGSS - Ameriguard Security Services, Inc.
252;AGTI;Agiliti, Inc.;AGTI - Agiliti, Inc.
253;AGX;ARGAN INC;AGX - ARGAN INC
254;AGYS;AGILYSYS INC;AGYS - AGILYSYS INC
255;AH;R1 RCM INC.;AH - R1 RCM INC.
256;AHCO;AdaptHealth Corp.;AHCO - AdaptHealth Corp.
257;AHFC;AMERICAN HONDA FINANCE CORP;AHFC - AMERICAN HONDA FINANCE CORP
258;AHFD;Active Health Foods, Inc.;AHFD - Active Health Foods, Inc.
259;AHH;Armada Hoffler Properties, Inc.;AHH - Armada Hoffler Properties, Inc.
260;AHL;ASPEN INSURANCE HOLDINGS LTD;AHL - ASPEN INSURANCE HOLDINGS LTD
261;AHPI;ALLIED HEALTHCARE PRODUCTS INC;AHPI - ALLIED HEALTHCARE PRODUCTS INC
262;AHR;American Healthcare REIT, Inc.;AHR - American Healthcare REIT, Inc.
263;AHT;Ashford Hospitality Trust, Inc.;AHT - Ashford Hospitality Trust, Inc.
264;AI;C3.ai, Inc.;AI - C3.ai, Inc.
265;AIB;AIB Acquisition Corporation;AIB - AIB Acquisition Corporation
266;AIG;AMERICAN INTERNATIONAL GROUP INC;AIG - AMERICAN INTERNATIONAL GROUP INC
267;AILIM;Ameren Illinois Company;AILIM - Ameren Illinois Company
