Ticker,Date,Shares Outstanding,Open_AAPL,Open_BRO,Open_FAST,Open_MSFT,Open_ODFL,High_AAPL,High_BRO,High_FAST,High_MSFT,High_ODFL,Low_AAPL,Low_BRO,Low_FAST,Low_MSFT,Low_ODFL,Close_AAPL,Close_BRO,Close_FAST,Close_MSFT,Close_ODFL,Adj. Close_AAPL,Adj. Close_BRO,Adj. Close_FAST,Adj. Close_MSFT,Adj. Close_ODFL,Volume_AAPL,Volume_BRO,Volume_FAST,Volume_MSFT,Volume_ODFL,Close_Ticker_Shifted,Target
AAPL,2019-03-29,18861120000.0,47.46,29.61,32.0,118.07,48.7,47.52,29.66,32.27,118.32,48.9,47.13,29.36,31.91,116.96,48.01,47.49,29.51,32.16,117.94,48.13,45.5,28.25,27.49,111.4,47.01,94255844.0,825169.0,3728924.0,25399752.0,1380345.0,47.81,1.0
AAPL,2019-04-01,18429136000.0,47.91,29.69,32.48,118.95,48.67,47.92,29.85,32.93,119.11,49.91,47.09,29.58,32.27,118.1,48.16,47.81,29.8,32.9,119.02,49.76,45.81,28.53,28.12,112.42,48.59,111447856.0,634293.0,4263924.0,22789103.0,1231452.0,48.51,1.0
AAPL,2019-04-02,18429136000.0,47.77,29.78,32.89,119.06,49.7,48.62,29.83,33.05,119.48,49.98,47.76,29.61,32.78,118.52,49.15,48.51,29.66,33.01,119.19,49.53,46.47,28.4,28.21,112.58,48.37,91062928.0,715326.0,3075988.0,18142297.0,1339395.0,48.84,1.0
AAPL,2019-04-03,18429136000.0,48.31,29.81,33.09,119.86,49.78,49.12,29.81,33.3,120.43,50.96,48.29,29.56,32.84,119.15,49.61,48.84,29.75,32.91,119.97,49.98,46.79,28.48,28.13,113.32,48.81,93087320.0,807577.0,4054558.0,22860744.0,1673076.0,48.92,1.0
AAPL,2019-04-04,18429136000.0,48.7,29.81,33.01,120.1,50.08,49.09,29.95,33.27,120.23,50.97,48.28,29.69,32.91,118.38,50.03,48.92,29.94,33.16,119.36,50.7,46.87,28.67,28.35,112.75,49.52,76457100.0,784800.0,2153372.0,20112848.0,1330086.0,49.25,1.0
AAPL,2019-04-05,18429136000.0,49.11,29.99,33.3,119.39,50.71,49.27,30.03,33.42,120.23,51.33,48.98,29.83,33.12,119.37,50.44,49.25,29.93,33.34,119.89,50.58,47.19,28.66,28.49,113.25,49.4,74106576.0,608929.0,2573162.0,15826245.0,1350141.0,50.02,1.0
AAPL,2019-04-08,18429136000.0,49.1,29.89,33.33,119.81,50.43,50.06,29.97,33.55,120.02,50.91,49.09,29.77,33.21,118.64,50.0,50.02,29.9,33.3,119.93,50.9,47.93,28.63,28.46,113.28,49.71,103526788.0,709633.0,3439532.0,15116186.0,577359.0,49.88,0.0
AAPL,2019-04-09,18429136000.0,50.08,29.89,33.09,118.63,50.77,50.71,29.89,33.09,119.54,50.77,49.81,29.62,32.44,118.58,50.12,49.88,29.7,32.48,119.28,50.22,47.79,28.44,27.77,112.67,49.04,143072948.0,872898.0,4680558.0,17611981.0,829965.0,50.16,1.0
AAPL,2019-04-10,18429136000.0,49.67,29.76,32.29,119.76,50.36,50.19,30.09,32.66,120.35,50.48,49.55,29.73,32.05,119.54,49.85,50.16,29.97,32.59,120.19,50.1,48.06,28.69,27.86,113.53,48.93,86781152.0,755063.0,5442862.0,16477169.0,1146357.0,49.74,0.0
AAPL,2019-04-11,18429136000.0,50.21,30.07,33.78,120.54,50.23,50.25,30.31,34.6,120.85,51.32,49.61,29.98,33.5,119.92,50.23,49.74,30.27,34.24,120.33,51.1,47.66,28.98,29.27,113.66,49.9,83603232.0,937873.0,11938982.0,14209121.0,1435428.0,49.72,0.0
AAPL,2019-04-12,18429136000.0,49.8,30.45,34.38,120.64,51.3,50.03,30.57,34.9,120.98,51.8,49.05,30.33,34.11,120.37,50.94,49.72,30.51,34.85,120.95,51.25,47.64,29.21,29.79,114.25,50.05,111042672.0,728033.0,6259456.0,19745143.0,1140732.0,49.81,1.0
AAPL,2019-04-15,18429136000.0,49.65,30.52,34.68,120.94,51.37,49.96,30.8,34.94,121.58,51.73,49.5,30.52,34.34,120.57,50.61,49.81,30.68,34.38,121.05,50.82,47.72,29.37,29.39,114.34,49.64,70146584.0,886162.0,3947674.0,15792572.0,1378215.0,49.81,0.0
AAPL,2019-04-16,18429136000.0,49.87,30.83,34.52,121.64,50.53,50.34,30.89,34.81,121.65,51.78,49.64,30.6,34.38,120.1,50.39,49.81,30.73,34.76,120.77,51.61,47.73,29.42,29.71,114.08,50.4,102785540.0,879932.0,5561986.0,14071787.0,1355742.0,50.78,1.0
AAPL,2019-04-17,18429136000.0,49.88,30.83,34.92,121.24,51.83,50.84,30.84,35.18,121.85,52.62,49.65,30.24,34.82,120.54,51.66,50.78,30.41,35.06,121.77,52.36,48.66,29.12,29.97,115.02,51.14,115627120.0,964592.0,3387486.0,19300938.0,1511619.0,50.97,1.0
AAPL,2019-04-18,18429136000.0,50.78,30.39,35.3,122.19,52.53,51.04,30.61,35.55,123.52,53.07,50.63,30.38,34.98,121.3,51.56,50.97,30.57,35.54,123.37,51.74,48.83,29.27,30.38,116.53,50.53,96783064.0,905211.0,4934944.0,27990998.0,1408590.0,51.13,1.0
AAPL,2019-04-22,18404300000.0,50.71,30.44,35.57,122.62,51.66,51.23,30.58,35.72,124.0,52.16,50.59,30.21,34.88,122.57,51.26,51.13,30.51,35.05,123.76,51.96,48.99,29.21,29.96,116.9,50.74,77758180.0,1058648.0,4869588.0,15648724.0,1120374.0,51.87,1.0
AAPL,2019-04-23,18404300000.0,51.11,31.81,34.78,124.1,52.29,51.94,32.17,35.69,125.58,52.29,50.98,31.01,34.76,123.83,51.48,51.87,31.57,35.55,125.44,51.61,49.7,30.23,30.57,118.49,50.4,93291964.0,2925938.0,4319712.0,24025521.0,1380987.0,51.79,0.0
AAPL,2019-04-24,18404300000.0,51.84,31.59,35.59,125.79,51.84,52.12,31.82,35.94,125.85,53.1,51.76,31.44,35.56,124.52,51.65,51.79,31.46,35.67,125.01,52.98,49.62,30.12,30.68,118.08,51.74,70162436.0,1090919.0,3513372.0,31256980.0,2243718.0,51.32,0.0
AAPL,2019-04-25,18404300000.0,51.71,31.29,35.37,130.06,53.33,51.94,31.57,35.66,131.37,54.33,51.28,31.08,34.95,128.83,49.82,51.32,31.5,35.48,129.15,50.75,49.17,30.16,30.51,121.99,49.56,74172824.0,931508.0,3614400.0,38033892.0,4652625.0,51.08,0.0
AAPL,2019-04-26,18404300000.0,51.23,31.46,35.52,129.7,50.6,51.25,31.7,35.67,130.52,51.73,50.53,31.18,35.41,129.02,50.33,51.08,31.68,35.64,129.89,51.29,48.94,30.33,30.65,122.69,50.09,74596408.0,794828.0,3160250.0,23654933.0,1280139.0,51.15,1.0
AAPL,2019-04-29,18404300000.0,51.1,31.7,35.71,129.9,50.87,51.49,31.81,35.85,130.18,50.87,50.97,31.49,35.15,129.35,49.63,51.15,31.55,35.22,129.77,49.93,49.01,30.21,30.28,122.58,48.76,88818864.0,987742.0,5357056.0,16324183.0,2177493.0,50.17,0.0
AAPL,2019-04-30,18404300000.0,50.77,31.51,35.25,129.81,49.85,50.85,31.79,35.45,130.7,49.9,49.78,31.4,35.06,129.39,48.53,50.17,31.75,35.27,130.6,49.76,48.07,30.4,30.34,123.36,48.6,186139692.0,920417.0,4485522.0,24166503.0,1619610.0,52.63,1.0
